check,check_label,project,subject,detail
C02,dead-to-script run (unscripted heading),v6,v6#0,"3.32s unscripted run inside segment (attribution 33%): ""Level one The child who does not yet know what dark means"""
C02,dead-to-script run (unscripted heading),v6,v6#38,"2.23s unscripted run inside segment (attribution 30%): ""The boy who carries fire"""
C02,dead-to-script run (unscripted heading),v6,v6#81,"1.55s unscripted run inside segment (attribution 64%): ""Level three the scout"""
C02,dead-to-script run (unscripted heading),v6,v6#220,"1.51s unscripted run inside segment (attribution 43%): ""The one they follow"""
C02,dead-to-script run (unscripted heading),v6,v6#303,"1.85s unscripted run inside segment (attribution 38%): ""what cannot be taught easily"""
C02,dead-to-script run (unscripted heading),v6,v6#336,"2.29s unscripted run inside segment (attribution 30%): ""one whose name the stories use"""
C03,stale-pause attribution distance,v6,v6@84.16,attributed word 'the' sits 2.96s past the pause end (> 1.0s)
C05,scorer short-trailing-word overlap gate,v6,v6@0.56,ungated walk picks 'The' (12% pause overlap); gated walk correctly picks 'child' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@20.82,ungated walk picks 'You' (24% pause overlap); gated walk correctly picks 'can' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@24.86,ungated walk picks 'is' (16% pause overlap); gated walk correctly picks 'You' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@35.82,ungated walk picks 'Your' (43% pause overlap); gated walk correctly picks 'chest' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@41.50,ungated walk picks 'up' (12% pause overlap); gated walk correctly picks 'She' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@45.34,ungated walk picks 'head' (21% pause overlap); gated walk correctly picks 'That' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@50.80,ungated walk picks 'You' (21% pause overlap); gated walk correctly picks 'watch' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@56.02,ungated walk picks 'The' (6% pause overlap); gated walk correctly picks 'darkness' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@65.10,ungated walk picks 'side' (16% pause overlap); gated walk correctly picks 'You' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@71.18,ungated walk picks 'hear' (14% pause overlap); gated walk correctly picks 'You' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@92.66,ungated walk picks 'drops' (18% pause overlap); gated walk correctly picks 'You' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@101.34,ungated walk picks 'band' (34% pause overlap); gated walk correctly picks 'has' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@114.24,ungated walk picks 'It' (21% pause overlap); gated walk correctly picks 'is' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@122.08,ungated walk picks 'shape' (12% pause overlap); gated walk correctly picks 'But' — scorer misattribution
