order,tag,text,startTime,duration,endTime,anchorSource,tokenHash
0,hostile_landscape,Some places in the 41st Millennium don’t just kill soldiers.,0,4.18,4.18,whisper,cb52999b01db37a8
1,testing_parameters,They take apart the conditions under which a soldier can function in the first place.,4.18,4.96,9.14,whisper,1d4dc243cfc39611
2,military_collapse,"Training, equipment, formation, doctrine, gone before the first contact report.",9.14,5.29,14.43,whisper,696d92be63dacb6e
3,grim_horizon,These aren’t the worst battlefields because of the numbers.,14.43,3.45,17.88,whisper,af5f2823d8e38d50
4,abysmal_opinion,They’re the worst,17.88,0.63,18.51,whisper,fd8f1a84944af6f6
5,lethal_nature_hazard,because the environment was already doing the killing before the enemy showed up.,18.51,4.65,23.16,whisper,8152efef5fc47c05
6,rugged_survivalist,"Number Six, Catachan.",23.16,1.77,24.93,whisper,ae798aa384557953
7,ancient_training_grounds,"Before Catachan produced the Imperium’s most capable baseline human soldiers,",24.93,5.13,30.06,whisper,a81db2b0c8141bf7
8,historical_visual,the planet had a simpler reputation.,30.06,2.59,32.65,whisper,3806814a16e32392
9,barren_ruin,It killed everything on it.,32.65,1.97,34.62,whisper,f89b35fc226c156e
10,ancient_nature_thriving,The jungle didn’t evolve around human warfare.,34.62,3.11,37.73,whisper,4f988cee28e1388b
11,eternal_focus,"It spent millions of years optimizing toward a single outcome,",37.73,4.49,42.22,whisper,857283086b9e7978
12,fatal_surge,and anything with a nervous system is on the wrong side of that outcome.,42.22,3.84,46.06,whisper,f9e736c233a91a07
13,moist_short_circuit,Humidity wrecks unprotected electronics inside a few hours.,46.06,4.38,50.44,whisper,247ba37da154d44d
14,energy_rust,Las-charge packs corrode.,50.44,1.75,52.19,whisper,54e04fed24a307a7
15,sight_blur,Optical scopes fog permanently.,52.19,2.14,54.33,whisper,69311a6b3d6b419c
16,signal_static_frustration,"The canopy generates a biological electrical field that jams vox-casters,",54.33,4.685,59.015,whisper,a61868eb924309ca
17,ancient_schematic_view,something the Mechanicus has catalogued and never adequately explained.,59.015,4.895,63.91,whisper,cc07cc9cc2c8b42c
18,foliage_hostility,That’s before anything in the jungle decides to engage.,63.91,3.98,67.89,whisper,46fe5fc668a054bc
19,insect_corrosive,Catachan devil ants dissolve flesh faster than combat-grade acid.,67.89,4.78,72.67,whisper,486ba126305fadb7
20,segmented_stalker,"The Catachan devil itself, six limbs, chitin thick enough",72.67,3.94,76.61,whisper,749a40a18dee375c
21,iron_bounce,"to deflect small arms fire, hunts by thermal signature.",76.61,3.69,80.3,whisper,7e3e5136aa93c566
22,vicious_growth,Strangler plants drop tendrils that sever limbs before the soldier registers contact.,80.3,5.95,86.25,whisper,d3949440812bdde7
23,danger_soil,Miral land sharks track ground vibration.,86.25,3.21,89.46,whisper,3084a78c1ef2fb7b
24,gloomy_hollow,Every shadow has been occupying it longer than any patrol has been searching it.,89.46,5.5,94.96,whisper,ba5b55e89ab0ee88
25,vibrant_wilderness_contrast,Forces without Catachan-born soldiers operate at a deficit that no amount of preparation closes.,94.96,6.71,101.67,whisper,a9db01d7fecb76e2
26,silent_forest,The jungle doesn’t telegraph its threats.,101.67,2.67,104.34,whisper,353f6085696c4fef
27,futile_moment,It withholds them until they’re already past the point of response.,104.34,4.23,108.57,whisper,7630005e62414c86
28,tropical_wilderness_patrol,Catachan regiments work in that environment,108.57,2.19,110.76,whisper,ac058da1b8f62bd5
29,maintenance_blade,because they grew up treating survival as a practical discipline rather than an expected outcome.,110.76,6.51,117.27,whisper,18e3f7d7f0baafa8
30,victory_jungle,"For everyone else, the mission doesn’t fail on Catachan.",117.27,4.2,121.47,whisper,c80bba7ba4adf25b
31,wilderness_consumes,The jungle absorbs it and moves on.,121.47,2.24,123.71,whisper,c7fcc58043392b33
32,cosmic_debris,"Number Five, Space Hulks.",123.71,2.23,125.94,whisper,feae3d21b84121e0
33,cosmic_wreckage_cluster,"A Space Hulk is centuries of accumulated ships, stations,",125.94,3.93,129.87,whisper,826c22d7cb025000
34,shifting_monolith,"and debris, fused by warp transit into a structure too massive to ignore and too unstable for any chart to stay current on.",129.87,8.67,138.54,whisper,09ae7899d9aa82bb
35,vessel_access,Boarding one isn’t a tactical challenge.,138.54,2.86,141.4,whisper,1a10414da31f84f6
36,logic_failed_briefing,It’s a structural impossibility that command has decided cannot be avoided.,141.4,4.53,145.93,whisper,93cd8ce9bdc68fed
37,unformed_abyss_gap,The corridors weren’t built.,145.93,1.7,147.63,whisper,6257768a075e6ee3
38,metallic_fusion,"They’re the overlapping interiors of vessels that were never designed to share a wall,",147.63,4.94,152.57,whisper,7cbb731e0017a86d
39,spatial_jolt,smashed into adjacency by warp physics.,152.57,3.57,156.14,whisper,ac0b0e575d129cfd
40,inverted_gravity_path,Floors become ceilings two junctions in.,156.14,2.83,158.97,whisper,f35b7d07d85cf3cb
41,orientation_conflict,Gravity plates from different ships pull in competing,158.97,3.18,162.15,whisper,d603802d9c47d017
42,wall_split_path,directions in rooms separated by a single bulkhead.,162.15,3.76,165.91,whisper,36f200a9f9401461
43,industrial_gas_leak,Sections pressurize and vent without warning when something fails.,165.91,4.1,170.01,whisper,d65525d03e8cb306
44,pungent_vapor,"The atmosphere, where it exists at all, is a chemical residue",170.01,4.73,174.74,whisper,d68fa20fb22c5286
45,vessel_damage_clue,"of whatever the last crew left behind, which includes whatever finished them.",174.74,4.58,179.32,whisper,96fd63d4425f3a26
46,creature_flexibility,Genestealers are adapted to this geometry in ways that standard assault doctrine isn’t.,179.32,6.08,185.4,whisper,3d5f2ba13ed0537e
47,weightless_physics_defiance,They don’t need consistent gravity.,185.4,1.85,187.25,whisper,90b052d67960b3fb
48,rapid_duct_transit,They move through ventilation shafts with the velocity of a launched round,187.25,3.57,190.82,whisper,7e2c2d6b52b27231
49,listening_error,and the acoustic signature of a maintenance fault.,190.82,3.19,194.01,whisper,a39fb6990234878e
50,tight_blind_bend,"Squad formations built around structured corridors collapse because line-of-sight inside a hulk rarely extends six meters,",194.01,8.13,202.14,whisper,8abe774ed210e2a1
51,perpendicular_structural_entry,and flanking acquires a third dimension when the threat can arrive from overhead or through the wall itself.,202.14,4.84,206.98,whisper,c24dd5116a4812d1
52,heavy_suit,Terminator armor was developed for this specific operational context.,206.98,4.71,211.69,whisper,820300294a4b799a
53,loss_statistic,It still doesn’t make the casualty rates acceptable.,211.69,3.26,214.95,whisper,ae7c70ac371cd347
54,hazard_endured,It makes them survivable for a fraction of the boarding party.,214.95,3.52,218.47,whisper,c3efdbd35951c4ec
55,fatal_acceptance,That’s the best available outcome and everyone going in knows it.,218.47,3.92,222.39,whisper,099a7362ec5cc689
56,trench_siege,"Number Four, Vraks.",222.39,1.58,223.97,whisper,680643c5b27285e5
57,duration_recollection,Seventeen years.,223.97,1.4,225.37,whisper,2e78d5a7b3b25bbc
58,logic_comprehension_view,That number starts making sense once you understand what,225.37,2.84,228.21,whisper,5bc3de11bc935fa2
59,rugged_landscape,the terrain did to every assault the Imperium attempted.,228.21,3.71,231.92,whisper,7120799e9d8122a4
60,fortified_vault,"Vraks was an armoury world, built for storage and protection rather than habitation.",231.92,5.77,237.69,whisper,594b62005df646b2
61,grey_industrial_vista,Thick rockcrete everywhere.,237.69,2.07,239.76,whisper,4ea04002cceb0c66
62,subterranean_chambers,Deep vaults below it.,239.76,1.42,241.18,whisper,59295923e148ef36
63,ruins_monument_view,"Defensive lines pre-dating the siege by centuries,",241.18,2.63,243.81,whisper,a62bb2d49af2167a
64,sturdy_plating,constructed specifically to resist the type of assault being attempted against them.,243.81,5.31,249.12,whisper,2e26e05b72cd8f59
65,combat_territory,"The attacking forces had to advance into ground that had been engineered,",249.12,4.22,253.34,whisper,ed40dddbda67c7ea
66,mechanical_vigil,"decades before they arrived, to stop exactly them.",253.34,2.99,256.33,whisper,cdd9efe0d7aa4a69
67,earthwork_corridor,Trenches funnel movement and eliminate flanking at the squad level.,256.33,4.78,261.11,whisper,56dc18cac4e66e28
68,hazard_fluid,"The Chaos-aligned defenders added persistent acidic chemical compounds to that problem,",261.11,5.4,266.51,whisper,bc9f8de885265c1e
69,liquid_hazard,"agents that pooled in low ground, degraded respirator seals over extended exposure, and corrupted the soil chemistry across entire operating sectors.",266.51,9.77,276.28,whisper,47988a6afec98255
70,poisonous_terrain_shift,Ground that should have been traversable became toxic inside two weeks of sustained fighting.,276.28,5.83,282.11,whisper,0d65be6ba1dbff85
71,fatigue_hazardous_travel,Soldiers who crossed contaminated sections arrived at their objectives already in physiological decline,282.11,7.23,289.34,whisper,bae49c41aabc2717
72,silent_stalking,before any contact occurred.,289.34,2.03,291.37,whisper,d361d73d219cda93
73,ground_morph,"After seventeen years of that, the battlefield substrate changed.",291.37,4.2,295.57,whisper,8db1ff81424cbe08
74,unstable_land,The soil churned.,295.57,1.15,296.72,whisper,daa129560ee6682f
75,unnatural_fungi_inspection,Contaminated zones developed biological properties that had no business being there.,296.72,5.68,302.4,whisper,792e98b63356850d
76,perilous_zone_blur,In the worst sectors the distinction between a minefield,302.4,2.68,305.08,whisper,0a078c7fc5e83a16
77,strategic_equivalence,and clear ground stopped mattering operationally because the outcomes were roughly comparable either way.,305.08,6.22,311.3,whisper,d46aea09844f7ead
78,casualty_landscape,Fourteen million Krieg Guardsmen died at Vraks.,311.3,3.59,314.89,whisper,1b0cbe726874786f
79,clime_influence,The environment wasn’t incidental to that number.,314.89,2.89,317.78,whisper,3ae06e5e080c9e75
80,strategy_predetermined,It was built into the calculation from the start.,317.78,3.06,320.84,whisper,865beee06b7cf59c
81,ancient_structure,"Number Three, Necron Tomb Complexes.",320.84,3.09,323.93,whisper,ee0f67522dce67e5
82,ancient_mechanical_lure,A Necron tomb world has been a trap for several million years.,323.93,4.45,328.38,whisper,9ad1a2132ebdf195
83,celestial_behemoth,The exterior looks like a planet.,328.38,2.21,330.59,whisper,16e4a134ef8ef5f7
84,unseen_boundary,That’s where the familiar part ends.,330.59,2.2,332.79,whisper,191fda119e3ff709
85,deep_void_tunnels,"Tomb complexes extend kilometers below the surface through dimensionally compressed architecture,",332.79,6.21,339,whisper,84a424064210b528
86,spatial_anomaly,rooms that register on auspex scans as physically larger than the geological formation around them should permit.,339,6.37,345.37,whisper,609dbf5975902baf
87,glitch_check,Whether that’s a sensor artifact or accurate data is,345.37,2.99,348.36,whisper,663203fc3d784216
88,rapid_skirmish_clash,not a question anyone fighting inside has time to settle.,348.36,4.14,352.5,whisper,fdc2e885a7920235
89,recovery_formation,The defenders reassemble after being destroyed.,352.5,3.25,355.75,whisper,7e3e4419bf64ea5e
90,distinctive_property_highlight,That single feature separates this from every other hostile environment on this list.,355.75,5.62,361.37,whisper,d7521d80613e8f10
91,safety_passage,A fire lane is cleared.,361.37,1.99,363.36,whisper,dfefd1dab357314c
92,combatants_defeat_scene,Warriors go down.,363.36,1.41,364.77,whisper,e04f5fe640dd5300
93,fixed_march,Twenty minutes later they’ve partially rebuilt and resumed patrol.,364.77,4.52,369.29,whisper,82d04fb51753524b
