# FA FIDELITY REFERENCE — NOT a production behavioral target.
# Source: measure-forced-alignment-hf.py (transformers Wav2Vec2ForCTC, jonatasgrosman/wav2vec2-large-xlsr-53-english), run with pad-sec=3.0 and neighbour-midpoint windowing (align_segment's floor_bound/ceil_bound clamp) — this is MEASUREMENT convention, chosen to keep one segment's alignment window from bleeding into a neighbour's real speech during this measurement pass.
# R.4 (sync-pipeline-v2-plan.md) specifies PAD_BASE 0.75s for production. The audit that led to R.4 traced the midpoint-clamp windowing strategy used here to five documented failures on gapless corpora (docs/history.md) — this baseline's windowing is NOT what production should do.
# Therefore: this is a FIDELITY reference for the Rust jonatasgrosman/ONNX/Viterbi port to reproduce this model's own achievable output on this input, NOT a behavioral target for what Apply Sync should commit. Do not wire this baseline's numbers into a production-timing comparison.
# R-Q REGENERATION (docs/work-in-progress.md, this session): this fixture previously used torchaudio's MMS_FA bundle (CC-BY-NC-4.0, barred from shipping by Decision 3). It has been regenerated here against jonatasgrosman/wav2vec2-large-xlsr-53-english (Apache-2.0) — the actual model family production ships — resolving R-Q's stated obligation. The prior MMS-FA capture's own numbers are superseded; retrieve them from git history if a historical comparison is ever needed.
# This baseline captures the FIRST run of this HF-harness/jonatasgrosman pairing against these three projects' committed segments — there is nothing to diff it against yet; this run establishes the reference.
# Production ships jonatasgrosman/wav2vec2-large-xlsr-53-{en,es,fr,de,pt}, with per-language CTC vocabs of 33 (en) / 41 (es) / 59 (fr) / 38 (de) / 46 (pt) symbols.
# This fixture IS now a valid reference for text normalization and vocab coverage too (unlike its MMS-FA predecessor), since it uses the real shipping model's own alphabet — though it still measures via transformers/torchaudio's forced_align, not this repo's own Rust Viterbi port; the Rust port's own fidelity is independently verified by fa-onnx-emission-*.json/fa-e2e-alignment-*.json (zero-tolerance parity, Slices D2/D4), which this fixture does not replace or duplicate.
seg,text,startSec,endSec,score
0,Some,0.201,0.402,0.995
0,places,0.482,0.965,0.9996
0,in,1.065,1.125,0.9991
0,the,1.166,1.266,0.9938
0,41st,1.829,1.869,0.9995
0,Millennium,1.949,2.371,0.9999
0,don’t,2.592,2.834,0.8559
0,just,2.894,3.075,1.0
0,kill,3.155,3.376,0.9998
0,soldiers.,3.477,3.939,0.9999
1,They,4.361,4.501,0.9945
1,take,4.582,4.823,1.0
1,apart,4.883,5.224,0.9998
1,the,5.305,5.385,0.9961
1,conditions,5.445,6.088,0.9998
1,under,6.268,6.449,1.0
1,which,6.469,6.63,0.9975
1,a,6.69,6.71,0.9997
1,soldier,6.791,7.172,0.9996
1,can,7.252,7.373,1.0
1,function,7.473,7.895,1.0
1,in,8.076,8.136,0.9996
1,the,8.176,8.256,0.9963
1,first,8.297,8.497,0.9998
1,place.,8.558,8.859,1.0
2,"Training,",9.34,9.801,0.9999
2,"equipment,",9.921,10.382,0.9884
2,"formation,",10.503,11.084,0.9999
2,"doctrine,",11.484,12.045,0.9999
2,gone,12.506,12.747,0.9998
2,before,12.807,13.027,0.9757
2,the,13.047,13.128,0.9713
2,first,13.148,13.348,0.9719
2,contact,13.408,13.809,1.0
2,report.,13.869,14.21,0.9956
3,These,14.651,14.851,0.8974
3,aren’t,14.911,15.112,0.9339
3,the,15.152,15.252,0.8457
3,worst,15.313,15.553,0.9192
3,battlefields,15.613,16.315,0.9998
3,because,16.656,16.957,0.9999
3,of,16.997,17.058,0.9904
3,the,17.078,17.158,0.9684
3,numbers.,17.218,17.599,1.0
4,They’re,17.88,18.022,0.0
4,the,18.083,18.185,1.0
4,worst,18.205,18.51,0.0
5,because,19.292,19.592,0.9657
5,the,19.652,19.713,0.976
5,environment,19.773,20.294,0.9998
5,was,20.354,20.494,0.9958
5,already,20.755,21.035,0.978
5,doing,21.096,21.276,0.998
