# FA FIDELITY REFERENCE — NOT a production behavioral target.
# Source: measure-forced-alignment-hf.py (transformers Wav2Vec2ForCTC, jonatasgrosman/wav2vec2-large-xlsr-53-spanish), run with pad-sec=3.0 and neighbour-midpoint windowing (align_segment's floor_bound/ceil_bound clamp) — this is MEASUREMENT convention, chosen to keep one segment's alignment window from bleeding into a neighbour's real speech during this measurement pass.
# R.4 (sync-pipeline-v2-plan.md) specifies PAD_BASE 0.75s for production. The audit that led to R.4 traced the midpoint-clamp windowing strategy used here to five documented failures on gapless corpora (docs/history.md) — this baseline's windowing is NOT what production should do.
# Therefore: this is a FIDELITY reference for the Rust jonatasgrosman/ONNX/Viterbi port to reproduce this model's own achievable output on this input, NOT a behavioral target for what Apply Sync should commit. Do not wire this baseline's numbers into a production-timing comparison.
# R-Q REGENERATION (docs/work-in-progress.md, this session): this fixture previously used torchaudio's MMS_FA bundle (CC-BY-NC-4.0, barred from shipping by Decision 3). It has been regenerated here against jonatasgrosman/wav2vec2-large-xlsr-53-spanish (Apache-2.0) — the actual model family production ships — resolving R-Q's stated obligation. The prior MMS-FA capture's own numbers are superseded; retrieve them from git history if a historical comparison is ever needed.
# This baseline captures the FIRST run of this HF-harness/jonatasgrosman pairing against these three projects' committed segments — there is nothing to diff it against yet; this run establishes the reference.
# Production ships jonatasgrosman/wav2vec2-large-xlsr-53-{en,es,fr,de,pt}, with per-language CTC vocabs of 33 (en) / 41 (es) / 59 (fr) / 38 (de) / 46 (pt) symbols.
# This fixture IS now a valid reference for text normalization and vocab coverage too (unlike its MMS-FA predecessor), since it uses the real shipping model's own alphabet — though it still measures via transformers/torchaudio's forced_align, not this repo's own Rust Viterbi port; the Rust port's own fidelity is independently verified by fa-onnx-emission-*.json/fa-e2e-alignment-*.json (zero-tolerance parity, Slices D2/D4), which this fixture does not replace or duplicate.
seg,text,startSec,endSec,score
0,Scylla,0.321,1.763,0.0344
0,es,1.943,2.003,0.9998
0,un,2.083,2.124,0.998
0,monstruo,2.184,2.524,0.9968
0,que,2.564,2.644,0.9983
0,vive,2.684,2.865,0.9999
0,dentro,2.905,3.125,0.9257
0,de,3.165,3.205,0.9983
0,un,3.265,3.325,0.979
0,acantilado,3.386,3.906,1.0
0,junto,4.067,4.367,0.9928
0,a,4.487,4.507,0.9971
0,un,4.588,4.648,0.9998
0,estrecho,4.688,5.008,0.986
0,paso,5.088,5.289,1.0
0,marítimo.,5.349,5.77,0.9999
1,Tiene,6.292,6.534,0.9999
1,seis,6.676,6.898,1.0
1,cuellos,6.979,7.261,0.9999
1,"largos,",7.342,7.705,1.0
2,seis,8.21,8.291,0.0001
2,"cabezas,",8.311,8.754,1.0
2,tres,8.996,9.178,1.0
2,hileras,9.218,9.54,0.9984
2,de,9.581,9.621,0.9999
2,dientes,9.681,9.984,0.9998
2,en,10.044,10.105,0.9999
2,cada,10.145,10.306,1.0
2,boca,10.367,10.588,1.0
3,y,10.952,10.972,0.9998
3,patas,11.335,11.658,0.9982
3,debajo,11.739,12.042,0.9999
3,de,12.082,12.143,0.9991
3,su,12.183,12.264,0.9519
3,cuerpo.,12.305,12.628,1.0
4,Su,13.152,13.232,0.9997
4,ataque,13.292,13.614,0.9159
4,es,13.855,13.916,0.9781
4,sencillo.,13.976,14.459,0.9997
5,Cuando,14.921,15.102,0.9999
5,un,15.142,15.202,0.9996
5,barco,15.262,15.483,1.0
5,pasa,15.563,15.804,0.9999
5,lo,15.885,15.945,0.9999
5,suficientemente,16.005,16.728,0.9696
5,"cerca,",16.788,17.049,0.9994
6,las,17.451,17.532,0.9999
6,seis,17.572,17.754,0.9999
6,cabezas,17.814,18.217,1.0
6,se,18.338,18.419,1.0
6,mueven,18.499,18.761,0.9689
6,al,18.842,18.903,0.9998
