order,tag,text,startTime,duration,endTime,anchorSource
0,001_child_seven,You are seven years old.,0,5.64,5.64,whisper
1,002_skin_shelter,You live inside a skin-covered shelter at the edge of a shallow valley.,5.64,4.25,9.89,whisper
2,003_mother_fire,The fire your mother tends smells like pine resin and scorched bone.,9.89,4.45,14.34,whisper
3,004_grandmother_asleep,Your grandmother is asleep against the far wall.,14.34,3.22,17.56,whisper
4,005_deep_night,It is deep in the night.,17.56,1.83,19.39,whisper
5,006_boy_alert,You are wide awake.,19.39,1.96,21.35,whisper
6,007_listening_outside,You can hear something outside.,21.35,2.1,23.45,whisper
7,008_unknown_void,You do not know what it is.,23.45,1.73,25.18,whisper
8,009_large_shadow,You only know the sound is large,25.18,2.27,27.45,whisper
9,010_close_danger,it is close,27.45,1.44,28.89,whisper
10,011_shivering_by_fire,and the fire is the only reason you are not screaming.,28.89,3.41,32.3,whisper
11,012_sudden_hush,The sound stops.,32.3,2.02,34.32,whisper
12,013_silent_prehistoric_night,The night goes quiet.,34.32,1.97,36.29,whisper
13,014_chest_tightens_fear,Your chest is tight in a way you have no word for.,36.29,3.48,39.77,whisper
14,015_mother_unmoved,Your mother does not look up.,39.77,2.15,41.92,whisper
15,016_feeding_the_hearth,She feeds the fire another stick without turning her head.,41.92,3.98,45.9,whisper
16,017_heavy_stillness,That stillness tells you something.,45.9,2.37,48.27,whisper
17,018_listening_mother_profile,She has been listening the whole time.,48.27,2.89,51.16,whisper
18,019_silent_observation,You watch her face and you learn your first lesson without a word being spoken.,51.16,5.4,56.56,whisper
19,020_lurking_darkness,The darkness past the firelight is not empty.,56.56,3.18,59.74,whisper
20,021_heavy_flint_spear,It has weight.,59.74,1.37,61.11,whisper
21,022_fire_boundary_void,The fire is the line between you and whatever lives on the other side of it.,61.11,4.66,65.77,whisper
22,023_sleeping_mother_side,You fall asleep against her side,65.77,2.54,68.31,whisper
23,024_hand_warm_stones,one hand on the warm stones ringing the hearth.,68.31,3.53,71.84,whisper
24,025_dream_sound_shapes,You dream about the sound.,71.84,2.12,73.96,whisper
25,026_frosty_morning_run,Morning comes bright and cold and you run out into the frost like nothing happened.,73.96,4.6,78.56,whisper
26,030_watching_older_hunters,You start watching the older hunters differently.,78.56,11.58,90.14,whisper
27,031_sunset_gaze,You notice where their eyes go when the sun drops.,90.14,2.99,93.13,whisper
28,032_fire_gathering,You notice how they arrange themselves around the fire before full dark.,93.13,4.73,97.86,whisper
29,033_watchful_eyes,Nobody told them to do it.,97.86,2.18,100.04,whisper
30,034_natural_order,They just do.,100.04,1.68,101.72,whisper
31,035_nocturnal_formation,The band has a shape at night it does not have during the day.,101.72,3.83,105.55,whisper
32,036_outward_sentry,Certain men always face outward.,105.55,3,108.55,whisper
33,037_inner_circle,Certain men sleep closest to the fire’s edge.,108.55,3.36,111.91,whisper
34,038_spear_glint,The arrangement is not accidental.,111.91,2.73,114.64,whisper
35,039_river_trap,It is as deliberate as any trap your father sets in the river shallows.,114.64,4.57,119.21,whisper
36,040_outside_circle,You are not old enough to hold a position in that shape.,119.21,3.43,122.64,whisper
37,041_elder_lesson,But you are old enough to start learning what it means.,122.64,4.53,127.17,whisper
38,042_eleven_years,You are eleven.,127.17,3.79,130.96,whisper
39,043_night_migration,On nights when the band moves between camps,130.96,3.04,134,whisper
40,044_carrying_torch,your job is to carry one of the torches.,134,2.54,136.54,whisper
41,045_torch_materials,Birch bark and fat-soaked moss,136.54,1.725,138.265,whisper
42,046_sinew_binding,bound with sinew,138.265,0.645,138.91,whisper
43,047_proper_hold,held in both hands out in front of your body.,138.91,3.9,142.81,whisper
44,048_flickering_wind,The flame bends in the wind and you curve yourself around it,142.81,3.57,146.38,whisper
45,049_chest_protection,using your chest against the cold air.,146.38,2.74,149.12,whisper
46,050_hunters_ahead,The hunters move ahead.,149.12,2.07,151.19,whisper
47,051_center_column,You stay in the center column with the women and older children.,151.19,3.4,154.59,whisper
48,052_rear_guards,"Behind you, two of the most experienced men walk the rear with thrusting spears angled outward into the dark.",154.59,7.46,162.05,whisper
49,053_silent_men,They do not speak on night marches.,162.05,2.37,164.42,whisper
50,054_silent_tool,Their silence is a tool,164.42,1.63,166.05,whisper
51,055_spear_comparison,same as the spear.,166.05,1.65,167.7,whisper
52,056_dropping_torch,You drop the torch on the third night of your second season carrying it.,167.7,4.05,171.75,whisper
53,057_root_trip,You catch a root you did not see and the flame hits the ground and sputters and for three full heartbeats the column loses half its light.,171.75,8.16,179.91,whisper
54,058_silent_reaction,Nobody shouts.,179.91,1.82,181.73,whisper
55,059_daret_approaches,"But Daret, the rear guard",181.73,2.29,184.02,whisper
56,060_reassuring_hand,moves up beside you and puts his hand flat on your shoulder.,184.02,3.74,187.76,whisper
57,061_elder_touch,Not hard.,187.76,1.51,189.27,whisper
58,062_firm_grip,Not gentle.,189.27,1.29,190.56,whisper
59,063_scout_silhouette,Just there.,190.56,1.49,192.05,whisper
60,064_lighting_torch,He holds it until you have the torch burning again from the second carrier’s coals.,192.05,4.96,197.01,whisper
61,065_elder_leaves,Then he walks back to his post without a word.,197.01,3.15,200.16,whisper
62,066_torch_reflection,The lesson in that touch,200.16,2.15,202.31,whisper
63,067_group_danger,your mistake put people in danger.,202.31,2.32,204.63,whisper
64,068_scout_solitude,You are not punished for it.,204.63,2.22,206.85,whisper
65,069_scout_resolve,You are expected to understand that on your own.,206.85,2.82,209.67,whisper
66,070_scout_advancing,You do not drop a torch again.,209.67,2.07,211.74,whisper
67,071_night_column_walk,Those long column walks teach you how to read the night by its sounds.,211.74,4.49,216.23,whisper
68,072_neutral_owl,An owl is neutral.,216.23,1.74,217.97,whisper
69,073_sudden_silence,Every animal going silent at once is not.,217.97,2.72,220.69,whisper
70,074_erratic_wind,Wind through pine moves without any pattern.,220.69,2.65,223.34,whisper
71,075_rhythmic_movement,Something large moving through pine has a rhythm even when it is trying to suppress one.,223.34,4.86,228.2,whisper
72,076_feeling_change,You learn to feel the column change before you see it change.,228.2,3.61,231.81,whisper
73,077_lead_hunter_slows,When the lead hunter slows,231.81,1.88,233.69,whisper
74,078_column_stops,every person slows.,233.69,1.65,235.34,whisper
75,079_no_signal,No signal.,235.34,1.07,236.41,whisper
76,080_no_sound,No sound.,236.41,1.35,237.76,whisper
77,081_hearth_shift,The shift moves back through the group the way cold moves through water.,237.76,4.63,242.39,whisper
78,082_sleepless_vigil,You sleep lightly now even at camp.,242.39,2.88,245.27,whisper
79,083_unbidden_alertness,You did not decide to.,245.27,1.99,247.26,whisper
80,084_instinctive_grip,Your body made that choice without asking.,247.26,3.55,250.81,whisper
81,085_the_spear_bearer,You are sixteen and you carry your own spear.,250.81,5.93,256.74,whisper
82,086_spear_contrast,Not the heavy thrusting spear of the senior hunters.,256.74,3.14,259.88,whisper
83,087_throwing_spear_poise,A throwing spear,259.88,1.57,261.45,whisper
84,088_spear_craftsmanship,its flint point knapped by hand and bound to the shaft with pine pitch and wet sinew that dried hard as rock.,261.45,7.24,268.69,whisper
85,089_forward_scouting,They start sending you on forward runs.,268.69,2.42,271.11,whisper
86,090_tethered_distance,Never far.,271.11,1.43,272.54,whisper
87,091_scouts_walking,Never alone.,272.54,1.55,274.09,whisper
88,092_moving_with_korik,You go with Korik,274.09,1.68,275.77,whisper
89,093_korik_scout,"twenty-two, who has been scouting for four years.",275.77,2.87,278.64,whisper
90,094_scouts_ahead,The two of you move ahead of the main group by about the distance a man can shout and be heard.,278.64,5,283.64,whisper
91,095_reading_ground,Your job is to read the ground before everyone else walks onto it.,283.64,3.8,287.44,whisper
92,096_smell_first,You learn to smell before you look.,287.44,2.23,289.67,whisper
93,097_predator_presence,A predator’s presence reaches your nose before your mind names it.,289.67,3.6,293.27,whisper
94,098_thick_musky,"Something thick, musky, wrong in a way that is hard to describe.",293.27,5.46,298.73,whisper
95,099_sudden_stop,You catch it on your third run and stop walking.,298.73,3.44,302.17,whisper
96,100_korik_stops,Korik stops half a step after you.,302.17,2.53,304.7,whisper
97,101_shared_realization,He has it too.,304.7,1.73,306.43,whisper
98,102_frozen_scouts,The two of you stand without moving for a long count,306.43,3.11,309.54,whisper
99,103_held_breath,long enough for your own breathing to feel very loud.,309.54,3.7,313.24,whisper
100,104_silent_retreat,You back out the way water runs in reverse.,313.24,3.38,316.62,whisper
101,105_careful_steps,"Slow, continuous, nothing sudden enough to announce you.",316.62,5.39,322.01,whisper
102,106_empty_night,You never see the cave lion that night.,322.01,3.24,325.25,whisper
103,107_frost_tracks,But you find its tracks in the frost the next morning,325.25,3.33,328.58,whisper
104,108_spear_measure,two spear-lengths from where you stood.,328.58,2.22,330.8,whisper
105,109_giant_print,The print is wider than both your hands laid side by side.,330.8,3.44,334.24,whisper
106,110_long_stare,You look at it for a long time.,334.24,1.95,336.19,whisper
107,111_scout_returning_camp,You bring the information back.,336.19,2.25,338.44,whisper
108,112_scout_reporting_mission,That is the job.,338.44,1.78,340.22,whisper
109,113_scout_hiding_shadows,Not to engage.,340.22,1.63,341.85,whisper
110,114_scout_restrained_grip,Not to prove anything.,341.85,1.75,343.6,whisper
111,115_scout_observing_turning,"See, register, return.",343.6,2.25,345.85,whisper
