clip,script_text
clip2_01,one hand on the warm stones ringing the hearth.
clip2_02,You are thirty-three.
clip2_03,You are wide awake.
clip2_04,Morning comes bright and cold and you run out into the frost like nothing happened.
clip2_05,She feeds the fire another stick without turning her head.
clip2_06,and the fire is the only reason you are not screaming.
clip2_07,She has been listening the whole time.
clip2_08,Fear is information.
clip2_09,The dark comes back the same way your mother fed the fire
clip2_10,Nobody told them to do it.
clip2_11,That young man needs to understand that the tightness in his chest before a hard night is not a sign of weakness arriving.
clip2_12,You are eleven.
clip2_13,Certain men always face outward.
clip2_14,that the space past the firelight is not empty.
clip2_15,You sit with that for a long time.
clip2_16,two spear-lengths from where you stood.
clip2_17,They start sending you on forward runs.
clip2_18,to how to read an animal that is following you against one that only crossed your path
clip2_19,On nights when the band moves between camps
clip2_20,The fire your mother tends smells like pine resin and scorched bone.
