order,tag,text,startTime,duration,endTime,anchorSource
0,hostile_landscape,Some places in the 41st Millennium don’t just kill soldiers.,0,4.18,4.18,whisper
1,testing_parameters,They take apart the conditions under which a soldier can function in the first place.,4.18,4.96,9.14,whisper
2,military_collapse,"Training, equipment, formation, doctrine, gone before the first contact report.",9.14,5.29,14.43,whisper
3,grim_horizon,These aren’t the worst battlefields because of the numbers.,14.43,3.45,17.88,whisper
4,abysmal_opinion,They’re the worst,17.88,0.63,18.51,whisper
5,lethal_nature_hazard,because the environment was already doing the killing before the enemy showed up.,18.51,4.65,23.16,whisper
6,rugged_survivalist,"Number Six, Catachan.",23.16,1.77,24.93,whisper
7,ancient_training_grounds,"Before Catachan produced the Imperium’s most capable baseline human soldiers,",24.93,5.13,30.06,whisper
8,historical_visual,the planet had a simpler reputation.,30.06,2.59,32.65,whisper
9,barren_ruin,It killed everything on it.,32.65,1.97,34.62,whisper
10,ancient_nature_thriving,The jungle didn’t evolve around human warfare.,34.62,3.11,37.73,whisper
11,eternal_focus,"It spent millions of years optimizing toward a single outcome,",37.73,4.49,42.22,whisper
12,fatal_surge,and anything with a nervous system is on the wrong side of that outcome.,42.22,3.84,46.06,whisper
13,moist_short_circuit,Humidity wrecks unprotected electronics inside a few hours.,46.06,4.38,50.44,whisper
14,energy_rust,Las-charge packs corrode.,50.44,1.75,52.19,whisper
15,sight_blur,Optical scopes fog permanently.,52.19,2.14,54.33,whisper
16,signal_static_frustration,"The canopy generates a biological electrical field that jams vox-casters,",54.33,4.685,59.015,whisper
17,ancient_schematic_view,something the Mechanicus has catalogued and never adequately explained.,59.015,4.895,63.91,whisper
18,foliage_hostility,That’s before anything in the jungle decides to engage.,63.91,3.98,67.89,whisper
19,insect_corrosive,Catachan devil ants dissolve flesh faster than combat-grade acid.,67.89,4.78,72.67,whisper
20,segmented_stalker,"The Catachan devil itself, six limbs, chitin thick enough",72.67,3.94,76.61,whisper
21,iron_bounce,"to deflect small arms fire, hunts by thermal signature.",76.61,3.69,80.3,whisper
22,vicious_growth,Strangler plants drop tendrils that sever limbs before the soldier registers contact.,80.3,5.95,86.25,whisper
23,danger_soil,Miral land sharks track ground vibration.,86.25,3.21,89.46,whisper
24,gloomy_hollow,Every shadow has been occupying it longer than any patrol has been searching it.,89.46,5.5,94.96,whisper
25,vibrant_wilderness_contrast,Forces without Catachan-born soldiers operate at a deficit that no amount of preparation closes.,94.96,6.71,101.67,whisper
26,silent_forest,The jungle doesn’t telegraph its threats.,101.67,2.67,104.34,whisper
27,futile_moment,It withholds them until they’re already past the point of response.,104.34,4.23,108.57,whisper
28,tropical_wilderness_patrol,Catachan regiments work in that environment,108.57,2.19,110.76,whisper
29,maintenance_blade,because they grew up treating survival as a practical discipline rather than an expected outcome.,110.76,6.51,117.27,whisper
30,victory_jungle,"For everyone else, the mission doesn’t fail on Catachan.",117.27,4.2,121.47,whisper
31,wilderness_consumes,The jungle absorbs it and moves on.,121.47,2.24,123.71,whisper
32,cosmic_debris,"Number Five, Space Hulks.",123.71,2.23,125.94,whisper
33,cosmic_wreckage_cluster,"A Space Hulk is centuries of accumulated ships, stations,",125.94,3.93,129.87,whisper
34,shifting_monolith,"and debris, fused by warp transit into a structure too massive to ignore and too unstable for any chart to stay current on.",129.87,8.67,138.54,whisper
35,vessel_access,Boarding one isn’t a tactical challenge.,138.54,2.86,141.4,whisper
36,logic_failed_briefing,It’s a structural impossibility that command has decided cannot be avoided.,141.4,4.53,145.93,whisper
37,unformed_abyss_gap,The corridors weren’t built.,145.93,1.7,147.63,whisper
38,metallic_fusion,"They’re the overlapping interiors of vessels that were never designed to share a wall,",147.63,4.94,152.57,whisper
39,spatial_jolt,smashed into adjacency by warp physics.,152.57,3.57,156.14,whisper
40,inverted_gravity_path,Floors become ceilings two junctions in.,156.14,2.83,158.97,whisper
41,orientation_conflict,Gravity plates from different ships pull in competing,158.97,3.18,162.15,whisper
42,wall_split_path,directions in rooms separated by a single bulkhead.,162.15,3.76,165.91,whisper
43,industrial_gas_leak,Sections pressurize and vent without warning when something fails.,165.91,4.1,170.01,whisper
44,pungent_vapor,"The atmosphere, where it exists at all, is a chemical residue",170.01,4.73,174.74,whisper
45,vessel_damage_clue,"of whatever the last crew left behind, which includes whatever finished them.",174.74,4.58,179.32,whisper
46,creature_flexibility,Genestealers are adapted to this geometry in ways that standard assault doctrine isn’t.,179.32,6.08,185.4,whisper
47,weightless_physics_defiance,They don’t need consistent gravity.,185.4,1.85,187.25,whisper
