batch,clip,seg_display,prefix_hits,prefix_total,verdict,script_text,heard_text
"batch1 (Step C, 12 clips)",clip_01,154,4,4,PASS,When the night birds cut off mid-call,stopped them When the night birds cut mid
"batch1 (Step C, 12 clips)",clip_02,301,3,4,PASS,Accepting that without it hollowing out your readiness is harder than any technique.,structure cannot close Accept ing that without it hollow ing out your
"batch1 (Step C, 12 clips)",clip_03,1,4,4,PASS,You are seven years old.,Level one The child who does not yet know what dark means you are seven years old
"batch1 (Step C, 12 clips)",clip_04,c1,4,4,PASS,You live inside a skin-covered shelter at the edge of a shallow valley.,seven years old You live inside a skin cover
"batch1 (Step C, 12 clips)",clip_05,c2,4,4,PASS,The fire your mother tends smells like pine resin and scorched bone.,edge of a shallow valley The fire your mother tends
"batch1 (Step C, 12 clips)",clip_06,169,4,4,PASS,He finds you at your post afterward.,it gets close He finds you at your
"batch1 (Step C, 12 clips)",clip_07,c4,4,4,PASS,"Behind you, two of the most experienced men walk the rear with thrusting spears angled outward into the dark.",women and older children Behind you two of the
"batch1 (Step C, 12 clips)",clip_08,442,4,4,PASS,They will carry a torch in both hands and guard it with their body against the wind.,toward the dark They will carry a torch in both
"batch1 (Step C, 12 clips)",clip_09,21,2,3,PASS,It has weight.,is not empty It has The
"batch1 (Step C, 12 clips)",clip_10,383,2,4,FAIL,You are sixty-four.,Level 10 The one the fire remembers You are 64 The
"batch1 (Step C, 12 clips)",clip_11,307,2,4,FAIL,You are forty-nine.,The one who teaches what cannot be taught easily You are 49
"batch1 (Step C, 12 clips)",clip_12,c3,3,4,PASS,You watch her face and you learn your first lesson without a word being spoken.,her face and you learn your first lesson
"batch2 (Step H, 20 clips)",clip2_01,24,3,4,PASS,one hand on the warm stones ringing the hearth.,against her side one hand the warm
"batch2 (Step H, 20 clips)",clip2_02,224,2,4,FAIL,You are thirty-three.,6 The one they follow you are 33 You lead the
"batch2 (Step H, 20 clips)",clip2_03,6,4,4,PASS,You are wide awake.,is deep in the night You are wide awake You
"batch2 (Step H, 20 clips)",clip2_04,26,4,4,PASS,Morning comes bright and cold and you run out into the frost like nothing happened.,the sound Morning comes bright and cold
"batch2 (Step H, 20 clips)",clip2_05,16,4,4,PASS,She feeds the fire another stick without turning her head.,does not look up She feeds the fire another
"batch2 (Step H, 20 clips)",clip2_06,11,4,4,PASS,and the fire is the only reason you are not screaming.,is close and the fire is the only reason you
"batch2 (Step H, 20 clips)",clip2_07,18,3,4,PASS,She has been listening the whole time.,ness tells you something has been listening the
"batch2 (Step H, 20 clips)",clip2_08,319,3,3,PASS,Fear is information.,not the problem Fear is information
"batch2 (Step H, 20 clips)",clip2_09,264,4,4,PASS,The dark comes back the same way your mother fed the fire,dawn is temporary The dark comes back
"batch2 (Step H, 20 clips)",clip2_10,33,4,4,PASS,Nobody told them to do it.,before full dark Nobody told them to do it
"batch2 (Step H, 20 clips)",clip2_11,321,1,4,FAIL,That young man needs to understand that the tightness in his chest before a hard night is not a sign of weakness arriving.,problem is what happens when the body 's warning triggers a second signal that
"batch2 (Step H, 20 clips)",clip2_12,42,2,3,PASS,You are eleven.,two The boy who carries fire you are 11 On nights
"batch2 (Step H, 20 clips)",clip2_13,36,3,4,PASS,Certain men always face outward.,during the day Certain men always
"batch2 (Step H, 20 clips)",clip2_14,437,4,4,PASS,that the space past the firelight is not empty.,arriving without explanation that the space past the fire
"batch2 (Step H, 20 clips)",clip2_15,293,4,4,PASS,You sit with that for a long time.,direction that is not yours You sit with that for a long
"batch2 (Step H, 20 clips)",clip2_16,108,4,4,PASS,two spear-lengths from where you stood.,frost the next morning two spear lengths from where you
"batch2 (Step H, 20 clips)",clip2_17,89,4,4,PASS,They start sending you on forward runs.,hard as rock They start sending you on forward
"batch2 (Step H, 20 clips)",clip2_18,355,4,4,PASS,to how to read an animal that is following you against one that only crossed your path,what lives in it To how to read an animal that is following
"batch2 (Step H, 20 clips)",clip2_19,43,4,4,PASS,On nights when the band moves between camps,are 11 On nights when the band moves
"batch2 (Step H, 20 clips)",clip2_20,3,4,4,PASS,The fire your mother tends smells like pine resin and scorched bone.,edge of a shallow valley The fire your mother tends
