order,tag,text,startTime,duration,endTime,anchorSource,tokenHash
0,001_child_seven,You are seven years old.,0,5.64,5.64,whisper,f6d9e540d4db607e
1,002_skin_shelter,You live inside a skin-covered shelter at the edge of a shallow valley.,5.64,4.25,9.89,whisper,4c7fd74996c28cbc
2,003_mother_fire,The fire your mother tends smells like pine resin and scorched bone.,9.89,4.45,14.34,whisper,715172cce5ec5946
3,004_grandmother_asleep,Your grandmother is asleep against the far wall.,14.34,3.22,17.56,whisper,ceedba8de93531ec
4,005_deep_night,It is deep in the night.,17.56,1.83,19.39,whisper,4a1c800feedf0285
5,006_boy_alert,You are wide awake.,19.39,1.96,21.35,whisper,0de31b3288a8f18d
6,007_listening_outside,You can hear something outside.,21.35,2.1,23.45,whisper,24f95ebc11c7a97b
7,008_unknown_void,You do not know what it is.,23.45,1.73,25.18,whisper,1e6e5b3751e32fcf
8,009_large_shadow,You only know the sound is large,25.18,2.27,27.45,whisper,3bb3433e4b5b7925
9,010_close_danger,it is close,27.45,1.44,28.89,whisper,df05a846ad26c9c3
10,011_shivering_by_fire,and the fire is the only reason you are not screaming.,28.89,3.41,32.3,whisper,4fdd43eb96c26da7
11,012_sudden_hush,The sound stops.,32.3,2.02,34.32,whisper,b4724de3ebbbf278
12,013_silent_prehistoric_night,The night goes quiet.,34.32,1.97,36.29,whisper,0ea589accc763309
13,014_chest_tightens_fear,Your chest is tight in a way you have no word for.,36.29,3.48,39.77,whisper,434eec458d0fa1e7
14,015_mother_unmoved,Your mother does not look up.,39.77,2.15,41.92,whisper,5847248f9987db04
15,016_feeding_the_hearth,She feeds the fire another stick without turning her head.,41.92,3.98,45.9,whisper,4289797fd426a980
16,017_heavy_stillness,That stillness tells you something.,45.9,2.37,48.27,whisper,c7956997da58089d
17,018_listening_mother_profile,She has been listening the whole time.,48.27,2.89,51.16,whisper,0bc4ff69a3672b02
18,019_silent_observation,You watch her face and you learn your first lesson without a word being spoken.,51.16,5.4,56.56,whisper,b1c08c5511ed29ba
19,020_lurking_darkness,The darkness past the firelight is not empty.,56.56,3.18,59.74,whisper,c0dcab645d21f1d9
20,021_heavy_flint_spear,It has weight.,59.74,1.37,61.11,whisper,55927ea216daf6d9
21,022_fire_boundary_void,The fire is the line between you and whatever lives on the other side of it.,61.11,4.66,65.77,whisper,1e52e9f7b26fc69e
22,023_sleeping_mother_side,You fall asleep against her side,65.77,2.54,68.31,whisper,5fd7a4c0363dc99c
23,024_hand_warm_stones,one hand on the warm stones ringing the hearth.,68.31,3.53,71.84,whisper,de6b8a723513c97a
24,025_dream_sound_shapes,You dream about the sound.,71.84,2.12,73.96,whisper,e96d466033b3e439
25,026_frosty_morning_run,Morning comes bright and cold and you run out into the frost like nothing happened.,73.96,4.6,78.56,whisper,4c05ce96929e3f0c
26,030_watching_older_hunters,You start watching the older hunters differently.,78.56,11.58,90.14,whisper,d0c0d944237adaa3
27,031_sunset_gaze,You notice where their eyes go when the sun drops.,90.14,2.99,93.13,whisper,861065e84eac28a6
28,032_fire_gathering,You notice how they arrange themselves around the fire before full dark.,93.13,4.73,97.86,whisper,a10400569b1d07dc
29,033_watchful_eyes,Nobody told them to do it.,97.86,2.18,100.04,whisper,2e2e002622fce6d4
30,034_natural_order,They just do.,100.04,1.68,101.72,whisper,8480e2955d19c07d
31,035_nocturnal_formation,The band has a shape at night it does not have during the day.,101.72,3.83,105.55,whisper,c9891e9c062ae868
32,036_outward_sentry,Certain men always face outward.,105.55,3,108.55,whisper,5556163099fc7027
33,037_inner_circle,Certain men sleep closest to the fire’s edge.,108.55,3.36,111.91,whisper,d1bcdbc15f8378b8
34,038_spear_glint,The arrangement is not accidental.,111.91,2.73,114.64,whisper,67c69330eecac859
35,039_river_trap,It is as deliberate as any trap your father sets in the river shallows.,114.64,4.57,119.21,whisper,f62bf85165613937
36,040_outside_circle,You are not old enough to hold a position in that shape.,119.21,3.43,122.64,whisper,1ac63bbeb865c759
37,041_elder_lesson,But you are old enough to start learning what it means.,122.64,4.53,127.17,whisper,021c870f4111feeb
38,042_eleven_years,You are eleven.,127.17,3.79,130.96,whisper,9908f0e61ce12dae
39,043_night_migration,On nights when the band moves between camps,130.96,3.04,134,whisper,b61b171ebf8e22f9
40,044_carrying_torch,your job is to carry one of the torches.,134,2.54,136.54,whisper,4d087e1cc62e4379
41,045_torch_materials,Birch bark and fat-soaked moss,136.54,1.725,138.265,whisper,079a3ecf4c2fdfb6
42,046_sinew_binding,bound with sinew,138.265,0.645,138.91,whisper,0dbc90117d246efb
43,047_proper_hold,held in both hands out in front of your body.,138.91,3.9,142.81,whisper,762a8c1b6779e367
44,048_flickering_wind,The flame bends in the wind and you curve yourself around it,142.81,3.57,146.38,whisper,8d412393fcd7497e
45,049_chest_protection,using your chest against the cold air.,146.38,2.74,149.12,whisper,b88e4489bfaab50f
46,050_hunters_ahead,The hunters move ahead.,149.12,2.07,151.19,whisper,9559e4e874f96719
47,051_center_column,You stay in the center column with the women and older children.,151.19,3.4,154.59,whisper,8723895cfc7b43c2
48,052_rear_guards,"Behind you, two of the most experienced men walk the rear with thrusting spears angled outward into the dark.",154.59,7.46,162.05,whisper,03102c0af88f8d12
49,053_silent_men,They do not speak on night marches.,162.05,2.37,164.42,whisper,f564094a829ead30
50,054_silent_tool,Their silence is a tool,164.42,1.63,166.05,whisper,3965c5b4f23d6bde
51,055_spear_comparison,same as the spear.,166.05,1.65,167.7,whisper,cc80efcb61d24a3b
52,056_dropping_torch,You drop the torch on the third night of your second season carrying it.,167.7,4.05,171.75,whisper,6548996047b56b6c
53,057_root_trip,You catch a root you did not see and the flame hits the ground and sputters and for three full heartbeats the column loses half its light.,171.75,8.16,179.91,whisper,88fd252d77d4b674
54,058_silent_reaction,Nobody shouts.,179.91,1.82,181.73,whisper,e188e448e00bf231
55,059_daret_approaches,"But Daret, the rear guard",181.73,2.29,184.02,whisper,3c83a530449b0d41
56,060_reassuring_hand,moves up beside you and puts his hand flat on your shoulder.,184.02,3.74,187.76,whisper,119ab0d2e7310d8b
57,061_elder_touch,Not hard.,187.76,1.51,189.27,whisper,946033ebd90aeb4a
58,062_firm_grip,Not gentle.,189.27,1.29,190.56,whisper,fbb7932ecae08f2a
59,063_scout_silhouette,Just there.,190.56,1.49,192.05,whisper,ab00fe09f896f705
60,064_lighting_torch,He holds it until you have the torch burning again from the second carrier’s coals.,192.05,4.96,197.01,whisper,9ef27c1a8e5e4d1b
61,065_elder_leaves,Then he walks back to his post without a word.,197.01,3.15,200.16,whisper,7aa32fe7878f37cd
62,066_torch_reflection,The lesson in that touch,200.16,2.15,202.31,whisper,4c5fde9786b57f08
63,067_group_danger,your mistake put people in danger.,202.31,2.32,204.63,whisper,f3daa02dcb138762
64,068_scout_solitude,You are not punished for it.,204.63,2.22,206.85,whisper,b7559653c26c1aae
65,069_scout_resolve,You are expected to understand that on your own.,206.85,2.82,209.67,whisper,06fbcd8cc6e99a46
66,070_scout_advancing,You do not drop a torch again.,209.67,2.07,211.74,whisper,3dc1754286232553
67,071_night_column_walk,Those long column walks teach you how to read the night by its sounds.,211.74,4.49,216.23,whisper,6f9c397dbfdb8346
68,072_neutral_owl,An owl is neutral.,216.23,1.74,217.97,whisper,8f272818b6c4c82a
69,073_sudden_silence,Every animal going silent at once is not.,217.97,2.72,220.69,whisper,2dd1fc872be4953e
70,074_erratic_wind,Wind through pine moves without any pattern.,220.69,2.65,223.34,whisper,1e62162d103a3d7c
71,075_rhythmic_movement,Something large moving through pine has a rhythm even when it is trying to suppress one.,223.34,4.86,228.2,whisper,18789690ca32085f
72,076_feeling_change,You learn to feel the column change before you see it change.,228.2,3.61,231.81,whisper,c0241574c6bc961d
73,077_lead_hunter_slows,When the lead hunter slows,231.81,1.88,233.69,whisper,8329e450b0511486
74,078_column_stops,every person slows.,233.69,1.65,235.34,whisper,19aa0888a61ef089
75,079_no_signal,No signal.,235.34,1.07,236.41,whisper,b9e6017c73cefd26
76,080_no_sound,No sound.,236.41,1.35,237.76,whisper,bc368fea72d6dccc
77,081_hearth_shift,The shift moves back through the group the way cold moves through water.,237.76,4.63,242.39,whisper,5cce498480f5f7ea
78,082_sleepless_vigil,You sleep lightly now even at camp.,242.39,2.88,245.27,whisper,3b2b25138f96854f
79,083_unbidden_alertness,You did not decide to.,245.27,1.99,247.26,whisper,cccc89d015d9c92c
80,084_instinctive_grip,Your body made that choice without asking.,247.26,3.55,250.81,whisper,c0fc5a84c13b6803
81,085_the_spear_bearer,You are sixteen and you carry your own spear.,250.81,5.93,256.74,whisper,ac86b0c35bce3891
82,086_spear_contrast,Not the heavy thrusting spear of the senior hunters.,256.74,3.14,259.88,whisper,816c6adbbb7329ed
83,087_throwing_spear_poise,A throwing spear,259.88,1.57,261.45,whisper,87d0207daff2bbde
84,088_spear_craftsmanship,its flint point knapped by hand and bound to the shaft with pine pitch and wet sinew that dried hard as rock.,261.45,7.24,268.69,whisper,168fc079f49c78ae
85,089_forward_scouting,They start sending you on forward runs.,268.69,2.42,271.11,whisper,204171ebf1d0a1c3
86,090_tethered_distance,Never far.,271.11,1.43,272.54,whisper,9ba41a2dfe2af58d
87,091_scouts_walking,Never alone.,272.54,1.55,274.09,whisper,18b20167ffd62ba0
88,092_moving_with_korik,You go with Korik,274.09,1.68,275.77,whisper,4c3b3ef5b8e74d10
89,093_korik_scout,"twenty-two, who has been scouting for four years.",275.77,2.87,278.64,whisper,1a1e5093efdff8c8
90,094_scouts_ahead,The two of you move ahead of the main group by about the distance a man can shout and be heard.,278.64,5,283.64,whisper,c7765c68e811985c
91,095_reading_ground,Your job is to read the ground before everyone else walks onto it.,283.64,3.8,287.44,whisper,56fa3e10e830a63a
92,096_smell_first,You learn to smell before you look.,287.44,2.23,289.67,whisper,1d6826ea306854b7
93,097_predator_presence,A predator’s presence reaches your nose before your mind names it.,289.67,3.6,293.27,whisper,7722f1ff320385f3
