order,tag,text,startTime,duration,endTime,anchorSource
0,001_child_seven,You are seven years old.,0,5.64,5.64,forced-alignment
1,002_skin_shelter,You live inside a skin-covered shelter at the edge of a shallow valley.,5.64,4.25,9.89,forced-alignment
2,003_mother_fire,The fire your mother tends smells like pine resin and scorched bone.,9.89,4.45,14.34,forced-alignment
3,004_grandmother_asleep,Your grandmother is asleep against the far wall.,14.34,3.22,17.56,forced-alignment
4,005_deep_night,It is deep in the night.,17.56,1.83,19.39,forced-alignment
5,006_boy_alert,You are wide awake.,19.39,1.96,21.35,forced-alignment
6,007_listening_outside,You can hear something outside.,21.35,1.78,23.13,forced-alignment
7,008_unknown_void,You do not know what it is.,23.13,2.05,25.18,forced-alignment
8,009_large_shadow,You only know the sound is large,25.18,2.27,27.45,forced-alignment
9,010_close_danger,it is close,27.45,1.44,28.89,forced-alignment
10,011_shivering_by_fire,and the fire is the only reason you are not screaming.,28.89,3.41,32.3,forced-alignment
11,012_sudden_hush,The sound stops.,32.3,2.02,34.32,forced-alignment
12,013_silent_prehistoric_night,The night goes quiet.,34.32,1.97,36.29,forced-alignment
13,014_chest_tightens_fear,Your chest is tight in a way you have no word for.,36.29,3.48,39.77,forced-alignment
14,015_mother_unmoved,Your mother does not look up.,39.77,2.15,41.92,forced-alignment
15,016_feeding_the_hearth,She feeds the fire another stick without turning her head.,41.92,3.98,45.9,forced-alignment
16,017_heavy_stillness,That stillness tells you something.,45.9,2.37,48.27,forced-alignment
17,018_listening_mother_profile,She has been listening the whole time.,48.27,2.89,51.16,forced-alignment
18,019_silent_observation,You watch her face and you learn your first lesson without a word being spoken.,51.16,5.4,56.56,forced-alignment
19,020_lurking_darkness,The darkness past the firelight is not empty.,56.56,3.18,59.74,forced-alignment
20,021_heavy_flint_spear,It has weight.,59.74,1.37,61.11,forced-alignment
21,022_fire_boundary_void,The fire is the line between you and whatever lives on the other side of it.,61.11,4.66,65.77,forced-alignment
22,023_sleeping_mother_side,You fall asleep against her side,65.77,2.54,68.31,forced-alignment
23,024_hand_warm_stones,one hand on the warm stones ringing the hearth.,68.31,3.53,71.84,forced-alignment
24,025_dream_sound_shapes,You dream about the sound.,71.84,2.12,73.96,forced-alignment
25,026_frosty_morning_run,Morning comes bright and cold and you run out into the frost like nothing happened.,73.96,4.6,78.56,forced-alignment
26,027_internal_change_face,But something stayed in you.,78.56,2.18,80.74,forced-alignment
27,028_small_permanent_flake,Small and permanent.,80.74,2.79,83.53,forced-alignment
28,029_night_understanding,A new understanding of what the night actually is.,83.53,3.7,87.23,forced-alignment
29,030_watching_older_hunters,You start watching the older hunters differently.,87.23,2.91,90.14,forced-alignment
