# FA FIDELITY REFERENCE — NOT a production behavioral target.
# Source: measure-forced-alignment-hf.py (transformers Wav2Vec2ForCTC, jonatasgrosman/wav2vec2-large-xlsr-53-english), run with pad-sec=3.0 and neighbour-midpoint windowing (align_segment's floor_bound/ceil_bound clamp) — this is MEASUREMENT convention, chosen to keep one segment's alignment window from bleeding into a neighbour's real speech during this measurement pass.
# R.4 (sync-pipeline-v2-plan.md) specifies PAD_BASE 0.75s for production. The audit that led to R.4 traced the midpoint-clamp windowing strategy used here to five documented failures on gapless corpora (docs/history.md) — this baseline's windowing is NOT what production should do.
# Therefore: this is a FIDELITY reference for the Rust jonatasgrosman/ONNX/Viterbi port to reproduce this model's own achievable output on this input, NOT a behavioral target for what Apply Sync should commit. Do not wire this baseline's numbers into a production-timing comparison.
# R-Q REGENERATION (docs/work-in-progress.md, this session): this fixture previously used torchaudio's MMS_FA bundle (CC-BY-NC-4.0, barred from shipping by Decision 3). It has been regenerated here against jonatasgrosman/wav2vec2-large-xlsr-53-english (Apache-2.0) — the actual model family production ships — resolving R-Q's stated obligation. The prior MMS-FA capture's own numbers are superseded; retrieve them from git history if a historical comparison is ever needed.
# This baseline captures the FIRST run of this HF-harness/jonatasgrosman pairing against these three projects' committed segments — there is nothing to diff it against yet; this run establishes the reference.
# Production ships jonatasgrosman/wav2vec2-large-xlsr-53-{en,es,fr,de,pt}, with per-language CTC vocabs of 33 (en) / 41 (es) / 59 (fr) / 38 (de) / 46 (pt) symbols.
# This fixture IS now a valid reference for text normalization and vocab coverage too (unlike its MMS-FA predecessor), since it uses the real shipping model's own alphabet — though it still measures via transformers/torchaudio's forced_align, not this repo's own Rust Viterbi port; the Rust port's own fidelity is independently verified by fa-onnx-emission-*.json/fa-e2e-alignment-*.json (zero-tolerance parity, Slices D2/D4), which this fixture does not replace or duplicate.
seg,text,startSec,endSec,score
0,You,1.726,3.131,0.0009
0,are,4.355,4.436,1.0
0,seven,4.536,4.777,1.0
0,years,4.837,5.038,0.9624
0,old.,5.138,5.279,1.0
1,You,5.941,6.041,1.0
1,live,6.121,6.322,0.9218
1,inside,6.362,6.682,1.0
1,a,6.743,6.763,0.9988
1,skin-covered,6.863,7.705,0.5852
1,shelter,7.765,8.146,0.998
1,at,8.226,8.286,0.9999
1,the,8.326,8.407,0.9952
1,edge,8.507,8.647,1.0
1,of,8.687,8.747,0.9949
1,a,8.807,8.828,0.9986
1,shallow,8.868,9.188,0.9628
1,valley.,9.248,9.569,1.0
2,The,10.211,10.291,0.9996
2,fire,10.371,10.692,1.0
2,your,10.752,10.872,0.997
2,mother,10.932,11.133,1.0
2,tends,11.193,11.554,0.8719
2,smells,11.694,11.995,0.98
2,like,12.035,12.155,0.9998
2,pine,12.255,12.516,0.9747
2,resin,12.576,12.837,0.9981
2,and,12.997,13.077,0.9997
2,scorched,13.177,13.558,0.9288
2,bone.,13.638,13.899,0.9999
3,Your,14.763,14.883,0.9993
3,grandmother,14.964,15.487,0.9857
3,is,15.588,15.648,0.9999
3,asleep,15.729,16.151,0.9999
3,against,16.252,16.493,0.9999
3,the,16.534,16.614,0.9782
3,far,16.675,16.856,1.0
3,wall.,16.976,17.218,1.0
4,It,17.922,17.982,0.9999
4,is,18.063,18.143,0.9997
4,deep,18.244,18.465,1.0
4,in,18.525,18.565,0.9999
4,the,18.606,18.686,1.0
4,night.,18.746,18.948,1.0
5,You,19.794,19.915,0.982
5,are,19.976,20.077,1.0
5,wide,20.178,20.421,0.9989
5,awake.,20.461,20.784,0.9996
6,You,21.875,21.956,0.9988
6,can,21.976,22.077,0.9859
6,hear,22.158,22.299,1.0
6,something,22.38,22.642,0.9937
6,outside.,22.703,23.127,1.0
7,You,23.792,23.872,0.9999
